2021년 08월 12일 21시 06분 | 서버: cocos' discord | 채널: 🎈자유채팅방🎈 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 제로야 유저정보 <@&869231412799217725> 
2021년 08월 12일 21시 25분 | 서버: cocos' discord | 채널: 🎈자유채팅방🎈 | 유저: MEE6#4876 | 메시지: GG <@802785964547768330>, you just advanced to level 3! 
2021년 08월 12일 21시 26분 | 서버: cocos' discord | 채널: 🎈자유채팅방🎈 | 유저: LIME#8858 | 메시지: 왜 
2021년 08월 12일 21시 26분 | 서버: cocos' discord | 채널: 🎈자유채팅방🎈 | 유저: 재민#1608 | 메시지: 죄송 합니다.,.,.,., 
2021년 08월 12일 21시 26분 | 서버: cocos' discord | 채널: 🎈자유채팅방🎈 | 유저: LIME#8858 | 메시지: 니는 우리 싸우는데ㅡ 껴가지고 
2021년 08월 12일 21시 26분 | 서버: cocos' discord | 채널: 🎈자유채팅방🎈 | 유저: LIME#8858 | 메시지: 손절하거면 하고 
2021년 08월 12일 21시 26분 | 서버: cocos' discord | 채널: 🎈자유채팅방🎈 | 유저: LIME#8858 | 메시지: 이러냐 
2021년 08월 12일 21시 26분 | 서버: cocos' discord | 채널: 🎈자유채팅방🎈 | 유저: 재민#1608 | 메시지: 미안 
2021년 08월 12일 21시 26분 | 서버: cocos' discord | 채널: 🎈자유채팅방🎈 | 유저: 재민#1608 | 메시지: 난 너무 싸위길려 
2021년 08월 12일 21시 26분 | 서버: cocos' discord | 채널: 🎈자유채팅방🎈 | 유저: LIME#8858 | 메시지: 니한테 불동튈거란 생각 안하냐? 
2021년 08월 12일 21시 27분 | 서버: cocos' discord | 채널: 🎈자유채팅방🎈 | 유저: 재민#1608 | 메시지: 아 그건 않데! 
2021년 08월 12일 21시 34분 | 서버: cocos' discord | 채널: 🎈자유채팅방🎈 | 유저: LIME#8858 | 메시지: 인제 안싸워 
